기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
20210612,세종,1,1,0,504
20210612,울산,2,2,0,2678
20210612,대전,11,11,0,2339
20210612,광주,3,2,1,2864
20210612,인천,15,13,2,6432
20210612,대구,15,14,1,10418
20210612,부산,13,13,0,5926
20210612,서울,174,172,2,46476
20210612,합계,450,417,33,147872
20210611,검역,9,0,9,3922
20210611,제주,5,5,0,1178
20210611,경남,25,23,2,5025
20210611,경북,5,5,0,4806
20210611,전남,4,4,0,1546
20210611,전북,2,2,0,2291
20210611,충남,5,4,1,3637
20210611,충북,12,12,0,3119
20210611,강원,11,10,1,3346
20210611,경기,174,170,4,41149
20210611,세종,1,0,1,503
20210611,울산,6,6,0,2676
20210611,대전,22,22,0,2328
20210611,광주,7,4,3,2861
20210611,인천,20,19,1,6417
20210611,대구,23,21,2,10403
20210611,부산,26,13,13,5913
20210611,서울,206,203,3,46300
20210611,합계,563,523,40,147420
20210610,검역,4,0,4,3913
20210610,제주,5,5,0,1173
20210610,경남,20,20,0,5000
20210610,경북,6,6,0,4801
20210610,전남,5,5,0,1542
20210610,전북,4,4,0,2289
20210610,충남,5,5,0,3632
20210610,충북,16,16,0,3107
20210610,강원,11,10,1,3335
20210610,경기,173,172,1,40975
20210610,세종,2,1,1,502
20210610,울산,15,15,0,2670
20210610,대전,15,15,0,2306
20210610,광주,1,1,0,2854
20210610,인천,18,17,1,6397
20210610,대구,24,23,1,10380
20210610,부산,28,25,3,5887
20210610,서울,202,199,3,46092
20210610,합계,554,539,15,146855
20210609,검역,8,0,8,3909
20210609,제주,10,10,0,1168
20210609,경남,33,33,0,4980
20210609,경북,11,9,2,4795
20210609,전남,4,4,0,1537
20210609,전북,2,2,0,2285
20210609,충남,7,7,0,3627
20210609,충북,24,24,0,3091
20210609,강원,16,16,0,3324
20210609,경기,180,176,4,40802
20210609,세종,3,3,0,500
20210609,울산,7,7,0,2655
20210609,대전,22,21,1,2291
20210609,광주,4,3,1,2853
20210609,인천,22,22,0,6379
20210609,대구,30,29,1,10356
20210609,부산,15,15,0,5859
20210609,서울,211,211,0,45890
20210609,합계,609,592,17,146301
20210608,검역,5,0,5,3901
20210608,제주,7,6,1,1158
20210608,경남,39,39,0,4947
20210608,경북,13,12,1,4784
20210608,전남,6,6,0,1533
20210608,전북,6,6,0,2283
20210608,충남,5,4,1,3620
20210608,충북,23,23,0,3067
20210608,강원,30,29,1,3308
20210608,경기,161,155,6,40622
20210608,세종,3,3,0,497
20210608,울산,6,6,0,2648
20210608,대전,25,25,0,2269
20210608,광주,7,7,0,2849
20210608,인천,23,21,2,6357
20210608,대구,44,44,0,10326
20210608,부산,16,14,2,5844
20210608,서울,181,179,2,45677
20210608,합계,600,579,21,145690
20210607,검역,8,0,8,3896
20210607,제주,8,7,1,1151
20210607,경남,48,48,0,4908
20210607,경북,7,6,1,4771
20210607,전남,8,8,0,1527
20210607,전북,4,3,1,2277
20210607,충남,4,3,1,3615
20210607,충북,6,6,0,3044
20210607,강원,5,5,0,3278
20210607,경기,130,125,5,40461
20210607,세종,0,0,0,494
20210607,울산,3,3,0,2642
20210607,대전,22,22,0,2244
20210607,광주,1,1,0,2842
20210607,인천,13,11,2,6334
20210607,대구,33,33,0,10282
20210607,부산,15,15,0,5828
20210607,서울,138,138,0,45495
20210607,합계,452,434,18,145089
20210606,검역,10,0,10,3888
20210606,제주,13,13,0,1143
20210606,경남,28,27,1,4860
20210606,경북,9,8,1,4764
20210606,전남,3,3,0,1519
20210606,전북,3,3,0,2273
20210606,충남,9,9,0,3611
20210606,충북,11,10,1,3038
20210606,강원,2,2,0,3273
20210606,경기,151,146,5,40331
20210606,세종,0,0,0,494
20210606,울산,10,10,0,2639
20210606,대전,20,20,0,2222
20210606,광주,4,4,0,2841
20210606,인천,15,15,0,6321
20210606,대구,26,26,0,10249
20210606,부산,12,9,3,5813
20210606,서울,158,148,10,45356
20210606,합계,484,453,31,144635
20210605,검역,5,0,5,3878
20210605,제주,19,17,2,1130
20210605,경남,17,17,0,4832
20210605,경북,10,9,1,4755
20210605,전남,9,9,0,1516
20210605,전북,0,0,0,2270
20210605,충남,13,13,0,3602
20210605,충북,17,17,0,3027
20210605,강원,10,10,0,3271
20210605,경기,160,157,3,40180
20210605,세종,0,0,0,494
20210605,울산,7,7,0,2629
20210605,대전,18,18,0,2202
20210605,광주,2,2,0,2837
20210605,인천,23,22,1,6306
20210605,대구,46,45,1,10223
20210605,부산,21,21,0,5801
20210605,서울,178,176,2,45197
20210605,합계,555,540,15,144150
20210604,검역,5,0,5,3873
20210604,제주,22,22,0,1111
20210604,경남,20,20,0,4815
20210604,경북,10,10,0,4745
20210604,전남,14,14,0,1507
20210604,전북,14,13,1,2270
20210604,충남,10,9,1,3589
20210604,충북,24,24,0,3010
20210604,강원,14,14,0,3261
20210604,경기,211,206,5,40020
20210604,세종,4,4,0,494
20210604,울산,5,5,0,2622
20210604,대전,31,31,0,2184
20210604,광주,9,9,0,2835
20210604,인천,16,16,0,6283
20210604,대구,41,41,0,10177
20210604,부산,17,13,4,5780
20210604,서울,276,273,3,45018
20210604,합계,743,724,19,143594
20210603,검역,8,0,8,3868
20210603,제주,21,21,0,1089
20210603,경남,44,43,1,4795
20210603,경북,11,8,3,4735
20210603,전남,12,12,0,1493
20210603,전북,3,3,0,2256
20210603,충남,9,9,0,3579
20210603,충북,22,21,1,2986
20210603,강원,18,18,0,3247
20210603,경기,209,204,5,39809
20210603,세종,3,3,0,490
20210603,울산,15,14,1,2617
20210603,대전,18,18,0,2153
20210603,광주,7,7,0,2826
20210603,인천,10,10,0,6267
20210603,대구,65,65,0,10136
20210603,부산,14,13,1,5763
20210603,서울,205,204,1,44741
20210603,합계,694,673,21,142850
20210602,검역,3,0,3,3860
20210602,제주,12,12,0,1068
20210602,경남,23,23,0,4751
20210602,경북,11,11,0,4724
20210602,전남,3,3,0,1481
20210602,전북,12,12,0,2253
20210602,충남,13,13,0,3570
20210602,충북,5,5,0,2964
20210602,강원,17,16,1,3229
20210602,경기,211,207,4,39600
20210602,세종,1,1,0,487
20210602,울산,8,8,0,2602
20210602,대전,15,15,0,2135
20210602,광주,4,4,0,2819
20210602,인천,22,22,0,6257
20210602,대구,74,73,1,10071
20210602,부산,32,32,0,5749
20210602,서울,214,214,0,44535
20210602,합계,680,671,9,142155
20210601,검역,9,0,9,3857
20210601,제주,14,14,0,1056
20210601,경남,21,19,2,4728
20210601,경북,12,9,3,4713
20210601,전남,10,10,0,1478
20210601,전북,10,10,0,2241
20210601,충남,7,7,0,3557
20210601,충북,5,5,0,2959
20210601,강원,14,14,0,3212
20210601,경기,192,188,4,39389
20210601,세종,3,3,0,486
20210601,울산,14,14,0,2594
20210601,대전,23,23,0,2120
20210601,광주,5,5,0,2815
20210601,인천,20,19,1,6235
20210601,대구,39,39,0,9997
20210601,부산,21,19,2,5717
20210601,서울,257,255,2,44320
20210601,합계,676,653,23,141474
20210531,검역,4,0,4,3848
20210531,제주,12,12,0,1042
20210531,경남,8,8,0,4707
20210531,경북,9,9,0,4701
20210531,전남,5,5,0,1468
20210531,전북,6,6,0,2231
20210531,충남,12,11,1,3550
20210531,충북,11,11,0,2954
20210531,강원,13,13,0,3198
20210531,경기,116,116,0,39197
20210531,세종,3,3,0,483
20210531,울산,2,2,0,2580
20210531,대전,19,19,0,2097
20210531,광주,5,5,0,2810
20210531,인천,17,16,1,6215
20210531,대구,42,39,3,9958
20210531,부산,28,28,0,5696
20210531,서울,146,145,1,44062
20210531,합계,458,448,10,140797
20210530,검역,7,0,7,3844
20210530,제주,7,6,1,1030
20210530,경남,16,15,1,4699
20210530,경북,18,15,3,4692
20210530,전남,6,6,0,1463
20210530,전북,9,9,0,2225
20210530,충남,4,4,0,3538
20210530,충북,7,7,0,2943
20210530,강원,11,11,0,3185
20210530,경기,130,127,3,39081
20210530,세종,3,3,0,480
20210530,울산,3,3,0,2578
20210530,대전,6,6,0,2078
20210530,광주,13,13,0,2805
20210530,인천,12,10,2,6198
20210530,대구,31,31,0,9916
20210530,부산,17,16,1,5668
20210530,서울,129,128,1,43915
20210530,합계,429,410,19,140338
20210529,검역,7,0,7,3837
20210529,제주,8,8,0,1023
20210529,경남,10,9,1,4683
20210529,경북,9,9,0,4674
20210529,전남,9,9,0,1457
20210529,전북,7,7,0,2216
20210529,충남,7,5,2,3534
20210529,충북,6,6,0,2936
20210529,강원,17,17,0,3174
20210529,경기,160,156,4,38951
20210529,세종,6,6,0,477
20210529,울산,7,6,1,2575
